,Never,Rarely,Sometimes,Frequently,Always,Always-Freq,Never-Rare-Some,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
245,0.008,0.015,0.032,0.195,0.75,0.945,0.055,2,2,0.049,0.123,0.22,0.608,326196,0.024,1.14573822021484,0.107,0.005840047088254,0.000229923113711
369,0.077,0.022,0.08,0.173,0.648,0.821,0.179,2,2,0.139,0.337,0.321,0.203,328297,0.039,0.967802963256836,0.105,0.015552990127842,0.000380752793964
1765,0.016,0.027,0.046,0.12,0.791,0.911,0.089,1,1,0.053,0.2,0.202,0.545,328934,0.03,1.31399063110352,0.054,0.015988009752716,0.001687268570595
2828,0.04,0.037,0.071,0.191,0.662,0.853,0.148,1,1,0.085,0.217,0.268,0.429,330818,0.028,0.901975936889648,0.087,0.010885139260863,0.000550151442787
2473,0.081,0.073,0.121,0.215,0.51,0.725,0.275,1,1,0.088,0.283,0.31,0.32,332285,0.026,1.24206466674805,0.1,0.018053779135381,0.000153482703101
1888,0.028,0.047,0.1,0.175,0.649,0.824,0.175,2,2,0.093,0.255,0.402,0.25,335509,0.051,0.811999053955078,0.18,0.008029590860454,0.000149027298821
716,0.07,0.051,0.049,0.234,0.596,0.83,0.17,1,1,0.036,0.153,0.233,0.578,338011,0.025,1.86941360473633,0.042,0.007322246909124,0.00033135016316
2576,0.033,0.037,0.105,0.207,0.617,0.824,0.175,1,1,0.118,0.255,0.327,0.3,342139,0.04,1.14318283081055,0.113,0.025793610199364,0.000283510503041
2204,0.029,0.013,0.053,0.196,0.71,0.906,0.095,2,2,0.147,0.277,0.348,0.228,347818,0.039,0.95673210144043,0.122,0.007515424733625,0.000192629478635
2280,0.017,0.07,0.069,0.172,0.673,0.845,0.156,1,1,0.06,0.375,0.28,0.285,348899,0.045,0.936206741333008,0.105,0.004075678061559,0.000131843312821
257,0.013,0.041,0.081,0.192,0.673,0.865,0.135,1,1,0.02,0.122,0.279,0.579,351154,0.024,1.60428771972656,0.027,0.004624751533515,0.000168017451033
2806,0.026,0.03,0.08,0.216,0.649,0.865,0.136,1,1,0.079,0.234,0.288,0.399,352802,0.027,1.06760734558105,0.066,0.0112471017738,0.00021258382889
2313,0.086,0.052,0.081,0.19,0.591,0.781,0.219,2,2,0.102,0.328,0.335,0.236,354081,0.036,0.951880798339844,0.127,0.022734910938458,0.000364323417523
2748,0.035,0.055,0.077,0.314,0.518,0.832,0.167,2,2,0.045,0.209,0.371,0.375,355481,0.024,1.15725517272949,0.055,0.008307054385466,3.65701683071669E-05
273,0.013,0.037,0.06,0.231,0.659,0.89,0.11,2,2,0.042,0.192,0.302,0.463,356899,0.024,0.977018051147461,0.103,0.003855432489304,9.80669601203702E-05
1304,0.054,0.078,0.132,0.245,0.492,0.737,0.264,1,1,0.061,0.279,0.363,0.297,356921,0.031,1.11853103637695,0.062,0.009181303425688,0.00031379492941
2668,0.024,0.034,0.028,0.079,0.835,0.914,0.086,2,2,0.176,0.289,0.32,0.215,362294,0.041,0.875632400512695,0.165,0.034441641318929,0.000502354441421
2507,0.01,0.035,0.078,0.205,0.672,0.877,0.123,2,2,0.094,0.259,0.401,0.245,362924,0.038,0.856145782470703,0.138,0.009632870793885,8.54173325544742E-05
354,0.046,0.087,0.121,0.203,0.543,0.746,0.254,2,2,0.127,0.375,0.305,0.194,365579,0.038,0.829065170288086,0.149,0.013865676091898,0.000166858599646
