,Never,Rarely,Sometimes,Frequently,Always,Rural Code,Urban Code,Per Less than HS,Per Only HS,Per Some College,Per Bachelors or Higher,Population,Unemployment Rate,Per of Median HH Income,Per in Poverty,Per of Cases,Per of Deaths
2915,0.017,0.041,0.062,0.202,0.678,1.0,1.0,0.068,0.214,0.366,0.35200000000000004,449974,0.027000000000000003,1.0264152526855468,0.073,0.009284980910008133,0.00010222812873632699
2916,0.027,0.028,0.049,0.186,0.71,3.0,2.0,0.134,0.32799999999999996,0.289,0.25,22630,0.028999999999999998,0.5834761047363282,0.12300000000000001,0.007335395492708794,0.0001325673884224481
2917,0.005,0.009,0.001,0.249,0.737,1.0,1.0,0.044000000000000004,0.193,0.19699999999999998,0.5670000000000001,14954,0.039,0.7397444915771484,0.182,0.007289019660291561,0.00040123044001604924
2918,0.025,0.056,0.032,0.277,0.611,3.0,2.0,0.16899999999999998,0.25,0.242,0.33899999999999997,28078,0.027999999999999997,0.7879326629638672,0.133,0.013925493268751336,0.00014246028919438707
2919,0.077,0.051,0.072,0.076,0.724,6.0,5.0,0.354,0.271,0.239,0.136,19983,0.057,0.6804662322998047,0.168,0.019316418956112694,0.0002001701446229295
2920,0.014,0.029,0.115,0.32,0.522,3.0,2.0,0.1,0.281,0.414,0.205,22582,0.040999999999999995,0.6962401580810547,0.138,0.0010627933752546275,8.85661146045523e-05
2921,0.084,0.011,0.064,0.08,0.761,2.0,2.0,0.099,0.243,0.359,0.3,204390,0.052000000000000005,0.9259349060058594,0.106,0.017882479573364647,0.0005479720142864132
2922,0.062,0.048,0.029,0.297,0.564,3.0,2.0,0.16699999999999998,0.272,0.295,0.267,77200,0.049,0.7605816650390625,0.122,0.014352331606217617,0.000155440414507772
2923,0.001,0.0,0.028,0.225,0.746,5.0,8.0,0.073,0.262,0.405,0.261,77331,0.066,0.7317665100097657,0.11199999999999999,0.0011767596436099365,0.0
2924,0.02,0.021,0.048,0.17,0.741,1.0,1.0,0.077,0.239,0.386,0.298,488241,0.047,1.022027587890625,0.092,0.003645740525683013,9.011942872474864e-05
2925,0.08,0.031,0.079,0.223,0.586,3.0,2.0,0.081,0.24,0.431,0.249,3985,0.055,0.7160942840576172,0.12300000000000001,0.003262233375156838,0.0
